,Latitude,Longitude,Elevation,RSRP,RSRQ,SNR
9009,12.902928,77.504728,759,-116,-16,0
9010,12.902928,77.504728,759,-116,-16,0
9011,12.902928,77.504728,759,-116,-16,0
9012,12.902928,77.504728,759,-116,-16,0
9013,12.902938,77.504727,759,-116,-16,0
9014,12.902938,77.504727,759,-116,-16,0
9015,12.902938,77.504727,759,-116,-16,0
9016,12.902943,77.504735,759,-116,-16,0
9017,12.902943,77.504735,759,-116,-16,0
9018,12.902943,77.504735,759,-116,-16,0
9019,12.902943,77.504735,759,-116,-16,0
9020,12.902943,77.504735,759,-116,-16,0
9021,12.90295,77.50475,759,-116,-16,0
9022,12.90295,77.50475,759,-116,-16,0
9023,12.90295,77.504762,759,-116,-16,0
9024,12.90295,77.504762,759,-116,-16,0
9025,12.90295,77.504762,759,-116,-16,0
9026,12.902952,77.504775,759,-116,-16,0
9027,12.902952,77.504775,759,-116,-16,0
9028,12.902952,77.504775,759,-116,-16,0
9029,12.90293,77.504782,759,-116,-16,0
9030,12.902912,77.504778,760,-116,-16,0
9031,12.902865,77.504822,760,-116,-16,0
9032,12.902857,77.504837,760,-116,-16,0
9033,12.90283,77.504853,760,-116,-16,0
9034,12.90282,77.50486,760,-116,-16,0
9035,12.902813,77.504867,760,-116,-16,0
9036,12.902803,77.50488,760,-116,-16,0
9037,12.902783,77.504895,760,-116,-16,0
9038,12.902783,77.504895,760,-116,-16,0
9039,12.902783,77.504895,760,-116,-16,0
9040,12.902783,77.504895,760,-116,-16,0
9041,12.902783,77.504895,760,-116,-16,0
9042,12.902783,77.504895,760,-116,-16,0
9043,12.902783,77.504895,760,-116,-16,0
9044,12.902783,77.504895,760,-116,-16,0
9045,12.902783,77.504895,760,-116,-16,0
9046,12.902783,77.504895,760,-116,-16,0
9047,12.902783,77.504895,760,-116,-16,0
9048,12.902783,77.504895,760,-116,-16,0
9049,12.902783,77.504895,760,-116,-16,0
9050,12.902783,77.504895,760,-116,-16,0
9051,12.902797,77.50494,754,-116,-16,0
9052,12.902813,77.504893,745,-116,-16,0
9053,12.902813,77.504893,745,-116,-16,0
9054,12.902813,77.504893,745,-116,-16,0
9055,12.90283,77.50488,741,-116,-16,0
9056,12.902815,77.504857,746,-116,-16,0
9057,12.902813,77.504778,756,-116,-16,0
9058,12.902822,77.504797,760,-116,-16,0
9059,12.902842,77.504763,765,-116,-16,0
9060,12.902853,77.504732,770,-116,-16,0
9061,12.90288,77.504695,773,-116,-16,0
9062,12.902892,77.50468,780,-116,-16,0
9063,12.902863,77.50467,785,-116,-16,0
9064,12.902865,77.504657,787,-116,-16,0
9065,12.90287,77.504645,789,-116,-16,0
9066,12.902875,77.50463,793,-116,-16,0
9067,12.902878,77.504618,795,-116,-16,0
9068,12.902882,77.504603,796,-116,-16,0
9069,12.902882,77.504603,796,-116,-16,0
9070,12.902882,77.504603,796,-116,-16,0
9071,12.902865,77.504603,796,-116,-16,0
9072,12.902865,77.504603,796,-116,-16,0
9073,12.90286,77.504588,797,-116,-16,0
9074,12.90286,77.504588,797,-116,-16,0
9075,12.902842,77.504605,796,-116,-16,0
9076,12.902842,77.504605,796,-116,-16,0
9077,12.902848,77.504613,796,-116,-16,0
9078,12.902848,77.504613,796,-116,-16,0
9079,12.902842,77.504625,796,-116,-16,0
9080,12.902825,77.504617,795,-116,-16,0
9081,12.902825,77.504617,795,-116,-16,0
9082,12.902825,77.504617,795,-116,-16,0
9083,12.902815,77.504608,795,-116,-16,0
9084,12.902815,77.504608,795,-116,-16,0
9085,12.902802,77.50459,793,-116,-16,0
9086,12.902788,77.504602,780,-116,-16,0
9087,12.902767,77.504573,778,-116,-16,0
9088,12.902767,77.504573,778,-116,-16,0
9089,12.902752,77.50452,768,-116,-16,0
9090,12.902742,77.504512,767,-116,-16,0
9091,12.902742,77.504512,767,-116,-16,0
9092,12.902725,77.504522,767,-116,-16,0
9093,12.902713,77.504533,766,-116,-16,0
9094,12.902713,77.504533,766,-116,-16,0
9095,12.902702,77.504537,766,-116,-16,0
9096,12.902698,77.504548,766,-116,-16,0
9097,12.902698,77.504548,766,-116,-16,0
9098,12.90269,77.504558,765,-116,-16,0
9099,12.902672,77.504565,765,-116,-16,0
9100,12.902672,77.504565,765,-116,-16,0
9101,12.902675,77.504603,764,-116,-16,0
9102,12.902675,77.504603,764,-116,-16,0
9103,12.902675,77.504603,764,-116,-16,0
9104,12.902663,77.504632,762,-116,-16,0
9105,12.90268,77.50461,755,-116,-16,0
9106,12.902687,77.504638,750,-116,-16,0
9107,12.902702,77.504637,745,-116,-16,0
9108,12.90271,77.504647,744,-116,-16,0
9109,12.90272,77.504648,745,-116,-16,0
9110,12.902728,77.50464,745,-116,-16,0
9111,12.902728,77.50464,745,-116,-16,0
9112,12.902728,77.50464,745,-116,-16,0
9113,12.902735,77.504655,745,-116,-16,0
9114,12.902735,77.504655,745,-116,-16,0
9115,12.90273,77.504675,746,-116,-16,0
9116,12.90273,77.504675,746,-116,-16,0
9117,12.902725,77.504688,747,-116,-16,0
9118,12.902725,77.504698,747,-116,-16,0
9119,12.902725,77.504698,747,-116,-16,0
9120,12.902723,77.504713,748,-116,-16,0
9121,12.902722,77.504725,748,-116,-16,0
9122,12.902722,77.504725,748,-116,-16,0
9123,12.90272,77.504735,749,-116,-16,0
9124,12.90272,77.504735,749,-116,-16,0
9125,12.902728,77.504742,750,-116,-16,0
9126,12.902728,77.504742,750,-116,-16,0
9127,12.902728,77.504742,750,-116,-16,0
9128,12.902752,77.504782,751,-116,-16,0
9129,12.902752,77.504782,751,-116,-16,0
9130,12.902775,77.504813,751,-116,-16,0
9131,12.902787,77.504835,751,-116,-16,0
9132,12.902787,77.504835,751,-116,-16,0
9133,12.902803,77.504848,751,-116,-16,0
9134,12.90282,77.50486,751,-116,-16,0
9135,12.90282,77.50486,751,-116,-16,0
9136,12.902832,77.504853,751,-116,-16,0
9137,12.90282,77.504843,751,-116,-16,0
9138,12.90282,77.504843,751,-116,-16,0
9139,12.902783,77.504815,751,-116,-16,0
9140,12.902745,77.504778,751,-116,-16,0
9141,12.902745,77.504778,751,-116,-16,0
9142,12.902723,77.504752,751,-116,-16,0
9143,12.902708,77.504725,751,-116,-16,0
9144,12.902708,77.504725,751,-116,-16,0
9145,12.902708,77.504725,751,-116,-16,0
9146,12.902662,77.504715,750,-116,-16,0
9147,12.902655,77.504755,750,-116,-16,0
9148,12.902612,77.504768,750,-116,-16,0
9149,12.902582,77.504777,750,-116,-16,0
9150,12.902563,77.504778,750,-116,-16,0
9151,12.902553,77.504775,750,-116,-16,0
9152,12.902575,77.50478,750,-116,-16,0
9153,12.902583,77.504795,750,-116,-16,0
9154,12.90257,77.504817,750,-116,-16,0
9155,12.902565,77.50483,748,-116,-16,0
9156,12.902555,77.504838,746,-116,-16,0
9157,12.902555,77.504838,746,-116,-16,0
9158,12.902555,77.504838,746,-116,-16,0
9159,12.902535,77.504837,746,-116,-16,0
9160,12.902525,77.504833,743,-116,-16,0
9161,12.902525,77.504833,743,-116,-16,0
9162,12.902525,77.504833,743,-116,-16,0
9163,12.902552,77.504828,743,-116,-16,0
9164,12.902585,77.504815,741,-116,-16,0
9165,12.902585,77.504815,741,-116,-16,0
9166,12.902597,77.50481,741,-116,-16,0
9167,12.902597,77.50481,741,-116,-16,0
9168,12.902602,77.504825,741,-116,-16,0
9169,12.902602,77.504825,741,-116,-16,0
9170,12.902602,77.504825,741,-116,-16,0
9171,12.902608,77.504833,741,-116,-16,0
9172,12.902608,77.504833,741,-116,-16,0
9173,12.902605,77.50485,740,-116,-16,0
9174,12.902605,77.50485,740,-116,-16,0
9175,12.902615,77.50483,741,-116,-16,0
9176,12.902622,77.504822,741,-116,-16,0
9177,12.902622,77.504822,741,-116,-16,0
9178,12.902633,77.504815,740,-116,-16,0
9179,12.902633,77.504815,740,-116,-16,0
9180,12.90264,77.504807,740,-116,-16,0
9181,12.90264,77.504807,740,-116,-16,0
9182,12.902622,77.504792,740,-116,-16,0
9183,12.902597,77.50479,740,-116,-16,0
9184,12.902597,77.50479,740,-116,-16,0
9185,12.902597,77.50479,740,-116,-16,0
9186,12.902597,77.50479,740,-116,-16,0
9187,12.902597,77.50479,740,-116,-16,0
9188,12.902597,77.50479,740,-116,-16,0
9189,12.902627,77.505048,740,-116,-16,0
9190,12.902628,77.505063,740,-116,-16,0
9191,12.902628,77.505063,740,-116,-16,0
9192,12.902642,77.50507,740,-116,-16,0
9193,12.902657,77.505058,765,-116,-16,0
9194,12.902657,77.505058,765,-116,-16,0
9195,12.902657,77.505058,765,-116,-16,0
9196,12.902678,77.505083,794,-116,-16,0
9197,12.902678,77.505083,794,-116,-16,0
9198,12.902703,77.505078,797,-116,-16,0
9199,12.90272,77.505052,793,-116,-16,0
9200,12.90272,77.505052,793,-116,-16,0
9201,12.90272,77.505052,793,-116,-16,0
9202,12.902732,77.505065,778,-116,-16,0
9203,12.902732,77.505065,778,-116,-16,0
9204,12.902745,77.505063,768,-116,-16,0
9205,12.902755,77.505045,764,-116,-16,0
9206,12.902755,77.505045,764,-116,-16,0
9207,12.902777,77.505048,768,-116,-16,0
9208,12.90282,77.505048,775,-116,-16,0
9209,12.90282,77.505048,775,-116,-16,0
9210,12.90283,77.505042,777,-116,-16,0
9211,12.90283,77.505042,777,-116,-16,0
9212,12.902847,77.505027,776,-116,-16,0
9213,12.902857,77.505012,777,-116,-16,0
9214,12.902857,77.505012,777,-116,-16,0
9215,12.902907,77.505003,782,-116,-16,0
9216,12.902947,77.504998,786,-116,-16,0
9217,12.902947,77.504998,786,-116,-16,0
9218,12.902978,77.505,788,-116,-16,0
9219,12.90299,77.504995,789,-116,-16,0
9220,12.90299,77.504995,789,-116,-16,0
9221,12.90299,77.504995,789,-116,-16,0
9222,12.903017,77.504995,789,-116,-16,0
9223,12.903032,77.504995,789,-116,-16,0
9224,12.903035,77.504982,792,-116,-16,0
9225,12.903058,77.504983,792,-116,-16,0
9226,12.903068,77.504985,792,-116,-16,0
9227,12.90308,77.50499,792,-116,-16,0
9228,12.90308,77.50499,792,-116,-16,0
9229,12.90308,77.50499,792,-116,-16,0
9230,12.90308,77.50499,792,-116,-16,0
9231,12.90309,77.504983,792,-116,-16,0
9232,12.90309,77.504983,792,-116,-16,0
9233,12.90309,77.504983,792,-116,-16,0
9234,12.903073,77.504988,792,-116,-16,0
9235,12.90306,77.504997,792,-116,-16,0
9236,12.90305,77.504998,792,-116,-16,0
9237,12.90305,77.504998,792,-116,-16,0
9238,12.90305,77.504998,792,-116,-16,0
9239,12.90305,77.504998,792,-116,-16,0
9240,12.903038,77.504997,793,-116,-16,0
9241,12.903038,77.504997,793,-116,-16,0
9242,12.903022,77.505002,792,-116,-16,0
9243,12.903013,77.505008,792,-116,-16,0
9244,12.903013,77.505008,792,-116,-16,0
9245,12.903013,77.505008,792,-116,-16,0
9246,12.903013,77.505008,792,-116,-16,0
9247,12.902998,77.505005,791,-116,-16,0
9248,12.902998,77.505005,791,-116,-16,0
9249,12.902985,77.505008,792,-116,-16,0
9250,12.902985,77.505008,792,-116,-16,0
9251,12.902985,77.505008,792,-116,-16,0
9252,12.902985,77.505008,792,-116,-16,0
9253,12.902975,77.505003,792,-116,-16,0
9254,12.903008,77.505005,792,-116,-16,0
9255,12.903063,77.505,792,-116,-16,0
9256,12.903078,77.504998,792,-116,-16,0
9257,12.90305,77.50501,792,-116,-16,0
9258,12.902973,77.505053,796,-116,-16,0
9259,12.902942,77.505068,798,-116,-16,0
9260,12.902927,77.50507,799,-116,-16,0
9261,12.902927,77.50507,799,-116,-16,0
9262,12.902927,77.50507,799,-116,-16,0
9263,12.902927,77.50507,799,-116,-16,0
9264,12.902927,77.50507,799,-116,-16,0
9265,12.902933,77.50506,800,-116,-16,0
9266,12.902933,77.50506,800,-116,-16,0
9267,12.902933,77.50506,800,-116,-16,0
9268,12.902933,77.50506,800,-116,-16,0
9269,12.902943,77.505058,801,-116,-16,0
9270,12.90296,77.505058,801,-116,-16,0
9271,12.90296,77.505058,801,-116,-16,0
9272,12.902975,77.50506,801,-116,-16,0
9273,12.902975,77.50506,801,-116,-16,0
9274,12.902995,77.505065,801,-116,-16,0
9275,12.902995,77.505065,801,-116,-16,0
9276,12.903012,77.505072,801,-116,-16,0
9277,12.903012,77.505072,801,-116,-16,0
9278,12.903022,77.505072,801,-116,-16,0
9279,12.903022,77.505072,801,-116,-16,0
9280,12.903038,77.50507,801,-116,-16,0
9281,12.903038,77.50507,801,-116,-16,0
9282,12.903038,77.50507,801,-116,-16,0
9283,12.903038,77.50507,801,-116,-16,0
9284,12.903038,77.50507,801,-116,-16,0
9285,12.903027,77.505073,801,-116,-16,0
9286,12.903017,77.505075,801,-116,-16,0
9287,12.903005,77.505073,801,-116,-16,0
9288,12.902993,77.505075,801,-116,-16,0
9289,12.90298,77.505062,802,-116,-16,0
9290,12.902972,77.50507,802,-116,-16,0
9291,12.90299,77.505068,802,-116,-16,0
9292,12.90299,77.505068,802,-116,-16,0
9293,12.90299,77.505068,802,-116,-16,0
9294,12.903002,77.505055,803,-116,-16,0
9295,12.902988,77.505062,803,-116,-16,0
9296,12.902988,77.505062,803,-116,-16,0
9297,12.902988,77.505062,803,-116,-16,0
9298,12.902988,77.505062,803,-116,-16,0
9299,12.902988,77.505062,803,-116,-16,0
9300,12.902993,77.505053,803,-116,-16,0
9301,12.902993,77.505053,803,-116,-16,0
9302,12.902993,77.505053,803,-116,-16,0
9303,12.902993,77.505053,803,-116,-16,0
9304,12.902997,77.505043,803,-116,-16,0
9305,12.902997,77.505043,803,-116,-16,0
9306,12.902997,77.505043,803,-116,-16,0
9307,12.903008,77.505043,803,-116,-16,0
9308,12.903008,77.505043,803,-116,-16,0
9309,12.903023,77.505043,803,-116,-16,0
9310,12.903023,77.505043,803,-116,-16,0
9311,12.903023,77.505043,803,-116,-16,0
9312,12.903012,77.505043,803,-116,-16,0
9313,12.903012,77.505043,803,-116,-16,0
9314,12.903012,77.505043,803,-116,-16,0
9315,12.903017,77.505053,803,-116,-16,0
9316,12.903027,77.505052,802,-116,-16,0
9317,12.903038,77.505045,802,-116,-16,0
9318,12.903038,77.505045,802,-116,-16,0
9319,12.902669,77.504308,,-117,-20,0
9320,12.902973,77.504483,,-117,-20,0
9321,12.903025,77.504247,,-117,-20,0
9322,12.902723,77.504255,,-117,-20,0
9323,12.902383,77.504208,,-117,-20,0
9324,12.902032,77.504017,,-117,-20,0
9325,12.90204,77.503858,,-117,-20,0
9326,12.902438,77.503927,,-117,-20,0
9327,12.902905,77.504092,,-117,-20,0
9328,12.903367,77.50424,,-117,-20,0
9329,12.903807,77.504327,,-117,-20,0
9330,12.904222,77.504393,,-117,-20,0
9331,12.904658,77.504537,,-117,-20,0
9332,12.902795,77.504873,771,-201,-,-4
9333,12.902795,77.504873,771,-108,-16,0
9334,12.902795,77.504873,771,-201,-,-10
9335,12.902772,77.504859,771,-112,-16,0
9336,12.902802,77.504897,771,-111,-18,0
9337,12.902802,77.504897,771,-111,-18,0
9338,12.902802,77.504897,771,-109,-16,0
9339,12.902815,77.504905,771,-111,-16,0
9340,12.902815,77.504905,771,-111,-16,0
9341,12.902815,77.504905,771,-116,-17,0
9342,12.902815,77.504905,771,-114,-17,0
9343,12.902813,77.504881,771,-116,-16,0
9344,12.902813,77.504881,771,-116,-16,0
9345,12.902813,77.504881,771,-116,-16,0
9346,12.902813,77.504881,771,-121,-17,0
9347,12.902643,77.504766,771,-121,-17,0
9348,12.902643,77.504766,771,-117,-17,0
9349,12.902643,77.504766,771,-117,-17,0
9350,12.902643,77.504766,771,-117,-17,0
9351,12.902669,77.504308,771,-118,-17,0
9352,12.902669,77.504308,771,-117,-20,0
